Budget,MPAARating,Genre,Distributor,Runtime,Day1Date,Day1DOW,Day1BoxOffice,Day1Theaters,Day1ToDate,Day2Date,Day2DOW,Day2BoxOffice,Day2Theaters,Day2ToDate,Day3Date,Day3DOW,Day3BoxOffice,Day3Theaters,Day3ToDate,Day4Date,Day4DOW,Day4BoxOffice,Day4Theaters,Day4ToDate,Day5Date,Day5DOW,Day5BoxOffice,Day5Theaters,Day5ToDate,Day6Date,Day6DOW,Day6BoxOffice,Day6Theaters,Day6ToDate,Day7Date,Day7DOW,Day7BoxOffice,Day7Theaters,Day7ToDate,Day8Date,Day8DOW,Day8BoxOffice,Day8Theaters,Day8ToDate,Day9Date,Day9DOW,Day9BoxOffice,Day9Theaters,Day9ToDate,Day10Date,Day10DOW,Day10BoxOffice,Day10Theaters,Day10ToDate,Day11Date,Day11DOW,Day11BoxOffice,Day11Theaters,Day11ToDate,Day12Date,Day12DOW,Day12BoxOffice,Day12Theaters,Day12ToDate,Day13Date,Day13DOW,Day13BoxOffice,Day13Theaters,Day13ToDate,Day14Date,Day14DOW,Day14BoxOffice,Day14Theaters,Day14ToDate,Day15Date,Day15DOW,Day15BoxOffice,Day15Theaters,Day15ToDate,Day16Date,Day16DOW,Day16BoxOffice,Day16Theaters,Day16ToDate,Day17Date,Day17DOW,Day17BoxOffice,Day17Theaters,Day17ToDate,Day18Date,Day18DOW,Day18BoxOffice,Day18Theaters,Day18ToDate,Day19Date,Day19DOW,Day19BoxOffice,Day19Theaters,Day19ToDate,Day20Date,Day20DOW,Day20BoxOffice,Day20Theaters,Day20ToDate,Day21Date,Day21DOW,Day21BoxOffice,Day21Theaters,Day21ToDate,Day22Date,Day22DOW,Day22BoxOffice,Day22Theaters,Day22ToDate,Day23Date,Day23DOW,Day23BoxOffice,Day23Theaters,Day23ToDate,Day24Date,Day24DOW,Day24BoxOffice,Day24Theaters,Day24ToDate,Day25Date,Day25DOW,Day25BoxOffice,Day25Theaters,Day25ToDate,Day26Date,Day26DOW,Day26BoxOffice,Day26Theaters,Day26ToDate,Day27Date,Day27DOW,Day27BoxOffice,Day27Theaters,Day27ToDate,Day28Date,Day28DOW,Day28BoxOffice,Day28Theaters,Day28ToDate,Day29Date,Day29DOW,Day29BoxOffice,Day29Theaters,Day29ToDate,Day30Date,Day30DOW,Day30BoxOffice,Day30Theaters,Day30ToDate
,PG-13,Horror Sci-Fi Thriller,Universal Pictures,1 hr 42 min,Jan 6,Friday,11726555,3509,11726555,Jan 7,Saturday,11703535,3509,23430090,Jan 8,Sunday,6999770,3509,30429860,Jan 9,Monday,1985265,3509,32415125,Jan 10,Tuesday,2677635,3509,35092760,Jan 11,Wednesday,1771975,3509,36864735,Jan 12,Thursday,1668775,3509,38533510,Jan 13,Friday,4862025,3605,43395535,Jan 14,Saturday,7564380,3605,50959915,Jan 15,Sunday,5879525,3605,56839440,Jan 16,Monday,3362375,3605,60201815,Jan 17,Tuesday,1414885,3605,61616700,Jan 18,Wednesday,881345,3605,62498045,Jan 19,Thursday,989465,3605,63487510,Jan 20,Friday,2653730,3628,66141240,Jan 21,Saturday,4562850,3628,70704090,Jan 22,Sunday,2488325,3628,73192415,Jan 23,Monday,672595,3628,73865010,Jan 24,Tuesday,849325,3628,74714335,Jan 25,Wednesday,585720,3628,75300055,Jan 26,Thursday,603670,3628,75903725,Jan 27,Friday,1650010,3416,77553735,Jan 28,Saturday,3079305,3416,80633040,Jan 29,Sunday,1528930,3416,82161970,Jan 30,Monday,395785,3416,82557755,Jan 31,Tuesday,500735,3416,83058490,Feb 1,Wednesday,387715,3416,83446205,Feb 2,Thursday,351170,3416,83797375,Feb 3,Friday,956735,2835,84754110,Feb 4,Saturday,1862985,2835,86617095
,PG-13,Drama,United Artists Releasing,1 hr 44 min,Dec 23,Friday,15650,8,15650,Dec 24,Saturday,8210,8,23860,Dec 25,Sunday,16670,8,40530,Dec 26,Monday,14415,8,54945,Dec 27,Tuesday,13835,8,68780,Dec 28,Wednesday,18645,8,87425,Dec 29,Thursday,19095,8,106520,Dec 30,Friday,16909,8,123429,Dec 31,Saturday,11475,8,134904,Jan 1,Sunday,17083,8,151987,Jan 2,Monday,14503,8,166490,Jan 3,Tuesday,8700,8,175190,Jan 4,Wednesday,11259,8,186449,Jan 5,Thursday,10590,8,197039,Jan 6,Friday,42465,29,239504,Jan 7,Saturday,58036,29,297540,Jan 8,Sunday,41673,29,339213,Jan 9,Monday,14763,29,353976,Jan 10,Tuesday,18829,29,372805,Jan 11,Wednesday,21180,29,393985,Jan 12,Thursday,19416,29,413401,Jan 13,Friday,54006,61,467407,Jan 14,Saturday,77414,61,544821,Jan 15,Sunday,69859,61,614680,Jan 16,Monday,51147,61,665827,Jan 17,Tuesday,25581,61,691408,Jan 18,Wednesday,26274,61,717682,Jan 19,Thursday,25261,61,742943,Jan 20,Friday,99778,154,842721,Jan 21,Saturday,161070,154,1003791
,R,Action Adventure Thriller,Lions Gate Films,1 hr 47 min,Jan 13,Friday,3519013,3023,3519013,Jan 14,Saturday,3840124,3023,7359137,Jan 15,Sunday,2906189,3023,10265326,Jan 16,Monday,1570348,3023,11835674,Jan 17,Tuesday,1072586,3023,12908260,Jan 18,Wednesday,661239,3023,13569499,Jan 19,Thursday,686123,3023,14255622,Jan 20,Friday,1568123,3060,15823745,Jan 21,Saturday,2382607,3060,18206352,Jan 22,Sunday,1329358,3060,19535710,Jan 23,Monday,451141,3060,19986851,Jan 24,Tuesday,709501,3060,20696352,Jan 25,Wednesday,415947,3060,21112299,Jan 26,Thursday,437466,3060,21549765,Jan 27,Friday,1069107,2852,22618872,Jan 28,Saturday,1883471,2852,24502343,Jan 29,Sunday,862799,2852,25365142,Jan 30,Monday,303844,2852,25668986,Jan 31,Tuesday,469062,2852,26138048,Feb 1,Wednesday,294541,2852,26432589,Feb 2,Thursday,238143,2852,26670732,Feb 3,Friday,556352,2203,27227084,Feb 4,Saturday,1045975,2203,28273059,Feb 5,Sunday,598985,2203,28872044,Feb 6,Monday,154704,2203,29026748,Feb 7,Tuesday,251369,2203,29278117,Feb 8,Wednesday,167297,2203,29445414,Feb 9,Thursday,139454,2203,29584868,Feb 10,Friday,352294,1679,29937162,Feb 11,Saturday,647795,1679,30584957
,R,Comedy,Warner Bros.,1 hr 40 min,Jan 13,Friday,1409486,1400,1409486,Jan 14,Saturday,1456230,1400,2865716,Jan 15,Sunday,1120166,1400,3985882,Jan 16,Monday,629120,1400,4615002,Jan 17,Tuesday,356217,1400,4971219,Jan 18,Wednesday,208413,1400,5179632,Jan 19,Thursday,230876,1400,5410508,Jan 20,Friday,516250,1400,5926758,Jan 21,Saturday,758416,1400,6685174,Jan 22,Sunday,395346,1400,7080520,Jan 23,Monday,148281,1400,7228801,Jan 24,Tuesday,179703,1400,7408504,Jan 25,Wednesday,122319,1400,7530823,Jan 26,Thursday,109686,1400,7640509,Jan 27,Friday,202882,1047,7843391,Jan 28,Saturday,361804,1047,8205195,Jan 29,Sunday,169556,1047,8374751,Jan 30,Monday,61958,1047,8436709,Jan 31,Tuesday,73373,1047,8510082,Feb 1,Wednesday,51373,1047,8561455,Feb 2,Thursday,29141,1047,8590596,Feb 3,Friday,48450,368,8639046,Feb 4,Saturday,94553,368,8733599,Feb 5,Sunday,50089,368,8783688,Feb 6,Monday,14807,368,8798495,Feb 7,Tuesday,18857,368,8817352,Feb 8,Wednesday,14715,368,8832067,Feb 9,Thursday,10801,368,8842868,Feb 10,Friday,18761,136,8861629,Feb 11,Saturday,40233,136,8901862
,PG-13,Comedy Drama,Columbia Pictures,2 hr 6 min,Dec 30,Friday,22790,4,22790,Dec 31,Saturday,16509,4,39299,Jan 1,Sunday,16958,4,56257,Jan 2,Monday,12635,4,68892,Jan 3,Tuesday,6783,4,75675,Jan 4,Wednesday,5191,4,80866,Jan 5,Thursday,4614,4,85480,Jan 6,Friday,1555761,637,1641241,Jan 7,Saturday,1676840,637,3318081,Jan 8,Sunday,969785,637,4287866,Jan 9,Monday,364736,637,4652602,Jan 10,Tuesday,705107,637,5357709,Jan 11,Wednesday,461922,637,5819631,Jan 12,Thursday,403495,637,6223126,Jan 13,Friday,4101753,3802,10324879,Jan 14,Saturday,5025295,3802,15350174,Jan 15,Sunday,3701737,3802,19051911,Jan 16,Monday,2574561,3802,21626472,Jan 17,Tuesday,2188354,3802,23814826,Jan 18,Wednesday,1227894,3802,25042720,Jan 19,Thursday,1303529,3802,26346249,Jan 20,Friday,2702694,3802,29048943,Jan 21,Saturday,3854928,3802,32903871,Jan 22,Sunday,2244500,3802,35148371,Jan 23,Monday,854776,3802,36003147,Jan 24,Tuesday,1567130,3802,37570277,Jan 25,Wednesday,829732,3802,38400009,Jan 26,Thursday,902855,3802,39302864,Jan 27,Friday,1975825,3957,41278689,Jan 28,Saturday,3211589,3957,44490278
,PG-13,Drama Mystery Thriller,Sony Pictures Entertainment (SPE),1 hr 51 min,Jan 20,Friday,3433703,3025,3433703,Jan 21,Saturday,3678378,3025,7112081,Jan 22,Sunday,2042614,3025,9154695,Jan 23,Monday,635259,3025,9789954,Jan 24,Tuesday,986437,3025,10776391,Jan 25,Wednesday,543286,3025,11319677,Jan 26,Thursday,574740,3025,11894417,Jan 27,Friday,1561509,3025,13455926,Jan 28,Saturday,2738923,3025,16194849,Jan 29,Sunday,1372591,3025,17567440,Jan 30,Monday,386212,3025,17953652,Jan 31,Tuesday,621455,3025,18575107,Feb 1,Wednesday,380108,3025,18955215,Feb 2,Thursday,336879,3025,19292094,Feb 3,Friday,942433,2565,20234527,Feb 4,Saturday,1779851,2565,22014378,Feb 5,Sunday,988591,2565,23002969,Feb 6,Monday,218966,2565,23221935,Feb 7,Tuesday,365250,2565,23587185,Feb 8,Wednesday,223642,2565,23810827,Feb 9,Thursday,215294,2565,24026121,Feb 10,Friday,711828,2315,24737949,Feb 11,Saturday,1380727,2315,26118676,Feb 12,Sunday,459593,2315,26578269,Feb 13,Monday,236655,2315,26814924,Feb 14,Tuesday,774487,2315,27589411,Feb 15,Wednesday,220155,2315,27809566,Feb 16,Thursday,133079,2315,27942645,Feb 17,Friday,424747,1516,28367392,Feb 18,Saturday,761446,1516,29128838
29000000,R,Action Adventure Drama Horror Thriller,Rialto Pictures,2 hr 22 min,Jan 20,Friday,3240,7,3240,Jan 21,Saturday,2056,7,5296,Jan 22,Sunday,1400,7,6696,Jan 23,Monday,484,7,7180,Jan 24,Tuesday,263,7,7443,Jan 25,Wednesday,480,7,7923,Jan 26,Thursday,704,7,8627,Jan 27,Friday,352,8,8979,Jan 28,Saturday,1415,8,10394,Jan 29,Sunday,165,8,10559,Jan 30,Monday,28,8,10587,Jan 31,Tuesday,524,8,11111,Feb 1,Wednesday,96,8,11207,Feb 2,Thursday,64,8,11271,Feb 3,Friday,153,2,11424,Feb 4,Saturday,435,2,11859,Feb 6,Monday,135,2,11994,Feb 7,Tuesday,106,2,12100,Feb 8,Wednesday,78,2,12178,Mar 1,Wednesday,480,1,12658,Mar 4,Saturday,137,1,12795,Mar 5,Sunday,69,1,12864,Mar 17,Friday,85,1,12949,Mar 18,Saturday,257,1,13206,Mar 19,Sunday,216,1,13422,Mar 20,Monday,66,1,13488,Mar 21,Tuesday,47,1,13535,Mar 22,Wednesday,75,1,13610,Mar 25,Saturday,323,1,13933,Mar 27,Monday,161,1,14094
,,Action Adventure Thriller,Yash Raj Films USA Inc.,2 hr 26 min,Jan 25,Wednesday,1490951,647,1490951,Jan 26,Thursday,1107218,658,2598169,Jan 27,Friday,1858203,695,4456372,Jan 28,Saturday,2869758,695,7326130,Jan 29,Sunday,2164221,692,9490351,Jan 30,Monday,586167,697,10076518,Jan 31,Tuesday,746335,697,10822853,Feb 1,Wednesday,429563,697,11252416,Feb 2,Thursday,326197,697,11578613,Feb 3,Friday,686482,683,12265095,Feb 4,Saturday,1192440,683,13457535,Feb 5,Sunday,804120,683,14261655,Feb 6,Monday,161350,683,14423005,Feb 7,Tuesday,299409,683,14722414,Feb 8,Wednesday,133914,683,14856328,Feb 9,Thursday,106722,683,14963050,Feb 10,Friday,262400,492,15225450,Feb 11,Saturday,476131,492,15701581,Feb 12,Sunday,238023,492,15939604,Feb 13,Monday,69108,492,16008712,Feb 14,Tuesday,164909,492,16173621,Feb 15,Wednesday,61453,492,16235074,Feb 16,Thursday,43868,492,16278942,Feb 17,Friday,95646,492,16374588,Feb 18,Saturday,176193,492,16550781,Feb 19,Sunday,194979,492,16745760,Feb 20,Monday,121008,492,16866768,Feb 21,Tuesday,53178,492,16919946,Feb 22,Wednesday,27144,492,16947090,Feb 23,Thursday,22090,492,16969180
,PG-13,Drama,A24,1 hr 44 min,Jan 27,Friday,24842,4,24842,Jan 28,Saturday,25471,4,50313,Jan 29,Sunday,11063,4,61376,Jan 30,Monday,4488,4,65864,Jan 31,Tuesday,5787,4,71651,Feb 1,Wednesday,5073,4,76724,Feb 2,Thursday,7698,4,84422,Feb 3,Friday,39137,20,123559,Feb 4,Saturday,46432,20,169991,Feb 5,Sunday,34079,20,204070,Feb 6,Monday,11382,20,215452,Feb 7,Tuesday,12885,20,228337,Feb 8,Wednesday,13818,20,242155,Feb 9,Thursday,13534,20,255689,Feb 10,Friday,38987,61,294676,Feb 11,Saturday,73213,61,367889,Feb 12,Sunday,36547,61,404436,Feb 13,Monday,17112,61,421548,Feb 14,Tuesday,28907,61,450455,Feb 15,Wednesday,19368,61,469823,Feb 16,Thursday,17237,61,487060,Feb 17,Friday,37890,116,524950,Feb 18,Saturday,55976,116,580926,Feb 19,Sunday,47481,116,628407,Feb 20,Monday,37812,116,666219,Feb 21,Tuesday,25334,116,691553,Feb 22,Wednesday,21534,116,713087,Feb 23,Thursday,18519,116,731606,Feb 24,Friday,34753,233,766359,Feb 25,Saturday,58444,233,824803
,PG-13,Biography Comedy Drama Sport,Paramount Pictures,1 hr 38 min,Feb 3,Friday,4625369,3912,4625369,Feb 4,Saturday,4480357,3912,9105726,Feb 5,Sunday,3595914,3912,12701640,Feb 6,Monday,1210212,3912,13911852,Feb 7,Tuesday,2540127,3912,16451979,Feb 8,Wednesday,1333386,3912,17785365,Feb 9,Thursday,1184293,3912,18969658,Feb 10,Friday,1849260,3939,20818918,Feb 11,Saturday,2824718,3939,23643636,Feb 12,Sunday,1126327,3939,24769963,Feb 13,Monday,773700,3939,25543663,Feb 14,Tuesday,1664918,3939,27208581,Feb 15,Wednesday,787148,3939,27995729,Feb 16,Thursday,652082,3939,28647811,Feb 17,Friday,990660,3119,29638471,Feb 18,Saturday,1534368,3119,31172839,Feb 19,Sunday,1227799,3119,32400638,Feb 20,Monday,791922,3119,33192560,Feb 21,Tuesday,713039,3119,33905599,Feb 22,Wednesday,372524,3119,34278123,Feb 23,Thursday,339158,3119,34617281,Feb 24,Friday,484435,2397,35101716,Feb 25,Saturday,823004,2397,35924720,Feb 26,Sunday,593970,2397,36518690,Feb 27,Monday,189491,2397,36708181,Feb 28,Tuesday,335715,2397,37043896,Mar 1,Wednesday,226227,2397,37270123,Mar 2,Thursday,203260,2397,37473383,Mar 3,Friday,215953,1495,37689336,Mar 4,Saturday,374156,1495,38063492
